===== BMS 电池安全监测日志 =====
[2025-12-19 18:48:34] PACK 总电压:  44.61 V | 电池电流: 放电   1.82 A | SOC:  17 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:48:39] PACK 总电压:  44.62 V | 电池电流: 放电   1.74 A | SOC:  17 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:48:44] PACK 总电压:  44.54 V | 电池电流: 放电   2.10 A | SOC:  17 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:48:49] PACK 总电压:  44.58 V | 电池电流: 放电   1.79 A | SOC:  17 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:48:54] PACK 总电压:  44.59 V | 电池电流: 放电   1.87 A | SOC:  17 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:48:59] PACK 总电压:  44.58 V | 电池电流: 放电   1.82 A | SOC:  17 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:49:04] PACK 总电压:  44.55 V | 电池电流: 放电   2.07 A | SOC:  17 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:49:10] PACK 总电压:  44.52 V | 电池电流: 放电   2.12 A | SOC:  17 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:49:15] PACK 总电压:  44.57 V | 电池电流: 放电   1.78 A | SOC:  17 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:49:20] PACK 总电压:  44.50 V | 电池电流: 放电   1.77 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:49:25] PACK 总电压:  44.55 V | 电池电流: 放电   1.86 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:49:30] PACK 总电压:  44.55 V | 电池电流: 放电   1.80 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:49:35] PACK 总电压:  44.54 V | 电池电流: 放电   1.84 A | SOC:  17 % | 最高温度:  30.8 ℃ | 状态: 正常
[2025-12-19 18:49:40] PACK 总电压:  44.53 V | 电池电流: 放电   1.93 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:49:45] PACK 总电压:  44.52 V | 电池电流: 放电   1.74 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:49:50] PACK 总电压:  44.49 V | 电池电流: 放电   1.72 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:49:55] PACK 总电压:  44.49 V | 电池电流: 放电   2.14 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
[2025-12-19 18:50:00] PACK 总电压:  44.45 V | 电池电流: 放电   1.83 A | SOC:  17 % | 最高温度:  30.9 ℃ | 状态: 正常
